id,statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,geo_enabled,profile_background_tile,Bot,sn_length,desc_length,name_length
3610511,20370,5470,2385,145,52,0.0,0.0,0.0,0,6,151,16
5656162,3131,506,381,9,40,0.0,0.0,0.0,0,5,104,14
5682702,4024,264,87,323,16,0.0,0.0,1.0,0,7,22,6
6067292,40586,640,622,1118,32,0.0,1.0,0.0,0,8,37,8
6015122,2016,62,64,13,0,0.0,1.0,0.0,0,10,14,6
6140012,3603,138,179,53,1,0.0,1.0,1.0,0,8,37,16
6134312,1183,128,168,2,5,0.0,1.0,1.0,0,4,147,4
6684602,6194,1062,1770,597,5,0.0,1.0,0.0,0,6,64,4
7046912,10962,23368,958,590,715,0.0,1.0,0.0,0,15,68,16
7470952,10947,760,712,693,27,0.0,1.0,1.0,0,14,122,14
8072492,2754,477,218,224,13,0.0,1.0,0.0,0,14,159,15
8291932,26713,1390,1177,914,68,0.0,1.0,0.0,0,7,17,7
8858022,4111,314,338,47,8,0.0,1.0,1.0,0,8,92,16
8927532,1441,97,203,25,2,0.0,1.0,1.0,0,15,83,15
8933252,1698,289,1930,45,3,0.0,0.0,0.0,0,8,12,8
9351052,402,93,78,36,4,0.0,0.0,0.0,0,6,43,17
9564632,16935,2242,918,44,124,0.0,1.0,1.0,0,9,41,11
9939012,9437,689,891,199,37,0.0,1.0,0.0,0,10,154,9
9993142,3742,505,571,100,3,0.0,0.0,1.0,0,10,111,10
10492262,770,81,181,89,2,0.0,1.0,1.0,0,11,136,19
11176152,1430,128,371,204,1,0.0,0.0,0.0,0,12,6,10
13260592,6996,899,305,346,28,0.0,1.0,0.0,0,4,69,14
14057516,3284,375,1039,1,8,0.0,0.0,1.0,0,15,95,15
14112759,160,46,146,22,0,1.0,1.0,0.0,0,10,17,6
14492555,292,57,110,5,0,1.0,1.0,0.0,0,7,46,14
14709812,5876,616,647,1061,29,0.0,1.0,0.0,0,7,144,7
14865840,7534,1132,1096,6,52,0.0,1.0,0.0,0,12,81,13
14958182,1294,254,276,89,8,0.0,1.0,1.0,0,7,116,4
15016610,6340,298,419,5,15,0.0,1.0,0.0,0,8,68,14
15271419,5472,6352,3873,65,11,0.0,1.0,1.0,0,8,160,17
15391421,22540,2065,1125,0,64,0.0,1.0,0.0,0,7,91,7
15836275,732,85,338,16,3,0.0,1.0,0.0,0,5,42,17
15873303,38781,623,323,1209,22,0.0,1.0,0.0,0,8,143,12
16093829,10451,1265,323,38,24,0.0,1.0,0.0,0,13,151,13
16591972,2784,256,873,284,2,0.0,0.0,0.0,0,11,51,11
16927266,823,43,109,5,1,0.0,0.0,0.0,0,12,15,14
17654864,442,79,259,0,3,1.0,0.0,0.0,0,7,44,7
17852114,350,86,131,116,3,0.0,1.0,1.0,0,8,151,14
18173213,3694,393,1047,6,8,0.0,0.0,1.0,0,8,159,8
18527544,9686,208,196,219,4,0.0,1.0,0.0,0,8,75,7
18671285,16427,555,755,8,18,0.0,1.0,0.0,0,9,51,15
18735790,1006,85,121,19,1,0.0,1.0,0.0,0,6,75,12
18800245,1122,300,951,8,6,0.0,1.0,0.0,0,7,32,8
19598248,1386,88,267,106,0,0.0,1.0,1.0,0,10,25,7
21102000,18267,1964,2003,22732,4,0.0,1.0,1.0,0,6,136,17
21770069,15365,3813,1505,550,63,0.0,1.0,1.0,0,15,121,17
22015750,2242,552,1446,13,8,0.0,1.0,0.0,0,7,146,15
22136015,4149,279,64,20,22,0.0,0.0,0.0,0,9,110,8
22203964,8384,2526,299,1178,41,0.0,1.0,1.0,0,13,149,14
22508731,612,100,259,24,2,0.0,1.0,1.0,0,13,33,13
22627606,660,126,407,0,0,0.0,1.0,0.0,0,7,28,8
22985259,5287,849,1846,117,3,0.0,0.0,1.0,0,14,73,13
23748269,2275,165,285,181,4,0.0,0.0,1.0,0,11,16,12
23847948,3551,87,174,7,2,0.0,1.0,1.0,0,9,101,6
24352106,282,12,36,6,0,0.0,0.0,1.0,0,14,59,15
24510304,493,47,80,24,0,0.0,1.0,0.0,0,9,36,15
25442408,1012,283,268,15,3,0.0,0.0,1.0,0,13,160,15
25911628,1706,134,257,0,2,0.0,0.0,0.0,0,8,43,16
26232444,103,45,66,0,0,0.0,0.0,1.0,0,10,6,19
26771352,189,35,178,6,0,0.0,0.0,1.0,0,9,36,16
27241975,3720,179,154,6,2,0.0,0.0,0.0,0,6,18,19
27422705,1566,110,295,71,1,0.0,1.0,0.0,0,13,102,14
27636956,1672,627,1089,11,4,0.0,0.0,0.0,0,10,84,11
27887098,969,69,210,233,1,0.0,1.0,0.0,0,10,15,14
28313453,7307,378,239,2620,30,0.0,1.0,0.0,0,7,22,5
28342883,4240,1012,1449,578,25,0.0,1.0,0.0,0,9,82,17
28363979,74,16,42,88,0,1.0,0.0,0.0,0,13,37,14
28845598,6866,463,330,2180,5,0.0,1.0,1.0,0,10,40,13
29500667,31546,151,301,294,2,0.0,0.0,1.0,0,13,25,8
29510629,966,69,318,3,0,0.0,1.0,1.0,0,8,63,16
29646177,28808,2638,1743,1021,39,0.0,0.0,1.0,0,8,106,9
30062603,386,88,205,25,1,0.0,1.0,0.0,0,14,149,15
31102741,3763,1169,1642,32,7,0.0,1.0,1.0,0,10,137,16
31162918,522,319,793,10,11,1.0,1.0,0.0,0,9,65,16
32025215,30547,445,489,304,16,0.0,0.0,0.0,0,10,104,12
32130104,6175,362,318,181,11,0.0,0.0,0.0,0,12,116,17
32204918,348,262,1513,28,1,0.0,1.0,0.0,0,9,23,9
33950570,484,232,431,10,0,1.0,0.0,0.0,0,12,160,12
34355343,2190,46,122,15,0,0.0,0.0,1.0,0,11,75,16
34897604,116,22,49,16,0,0.0,0.0,0.0,0,9,140,13
35737313,482,26,73,5,0,0.0,0.0,0.0,0,5,131,13
36190135,344,49,20,37,0,0.0,1.0,0.0,0,11,13,3
36381609,1805,258,191,4,14,0.0,1.0,0.0,0,10,122,16
36727238,748,85,460,80,1,0.0,1.0,1.0,0,8,65,16
37539436,34917,1161,194,2,28,1.0,0.0,0.0,0,9,37,9
37733715,3397,173,390,3,2,0.0,0.0,1.0,0,8,118,18
