id,avg_friends_listed_count,avg_friends_default_profile,avg_friends_geo_enabled,avg_friends_profile_background_tile,friend_Bot_rate,avg_friends_sn_length,avg_friends_desc_length,avg_friends_name_length,ff_ratio,statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,geo_enabled,profile_background_tile,Bot,sn_length,desc_length,name_length
3610511,174.579,0.0,0.737,0.316,0.0,9.632,106.579,15.158,5471.000419287212,20370,5470,2385,145,52,0.0,0.0,0.0,0,6,151,16
6067292,233.0,0.0,0.75,0.25,0.0,8.5,122.75,16.75,507.002624671916,40586,640,622,1118,32,0.0,1.0,0.0,0,8,37,8
8291932,112.682,0.045,0.636,0.455,0.0,10.0,99.773,12.636,265.01149425287355,26713,1390,1177,914,68,0.0,1.0,0.0,0,7,17,7
9939012,246.455,0.0,0.818,0.455,0.0,10.0,103.09100000000001,14.273,641.0016077170418,9437,689,891,199,37,0.0,1.0,0.0,0,10,154,9
14709812,203.8,0.1,0.6,0.3,0.0,8.7,122.7,14.2,63.015625,5876,616,647,1061,29,0.0,1.0,0.0,0,7,144,7
14865840,207.875,0.125,1.0,0.5,0.0,11.25,111.75,14.75,139.00558659217876,7534,1132,1096,6,52,0.0,1.0,0.0,0,12,81,13
16591972,332.167,0.0,0.833,0.5,0.0,9.333,88.0,15.0,129.00595238095238,2784,256,873,284,2,0.0,0.0,0.0,0,11,51,11
28342883,174.0,0.11800000000000001,0.647,0.294,0.0,10.294,109.0,14.412,1063.0005649717514,4240,1012,1449,578,25,0.0,1.0,0.0,0,9,82,17
56326516,47.013000000000005,0.182,0.5579999999999999,0.35100000000000003,0.0,10.442,92.29899999999999,13.26,23369.001043841337,16195,5027,5530,6698,73,1.0,1.0,0.0,0,12,161,15
279147035,174.0,0.111,0.556,0.222,0.0,9.777999999999999,102.111,15.333,761.001404494382,556,237,358,38,3,0.0,0.0,0.0,0,15,54,17
586003,29.203000000000003,0.469,0.391,0.188,0.0,10.187999999999999,71.281,15.015999999999998,478.0045871559633,216,97,234,2,0,0.0,1.0,0.0,0,10,72,16
769985,111.95,0.25,0.55,0.15,0.0,10.5,86.0,14.3,1391.000849617672,1897,1100,975,68,39,0.0,1.0,0.0,0,8,123,18
2007021,209.25,0.16699999999999998,0.75,0.25,0.0,8.833,94.75,14.583,315.00295857988164,3052,2254,2196,318,98,0.0,0.0,1.0,0,13,101,14
6082972,54.928999999999995,0.0,0.5,0.5710000000000001,0.0,11.142999999999999,111.071,10.357000000000001,98.00492610837438,3387,1335,727,73,17,0.0,1.0,1.0,0,8,135,12
12179872,79.39,0.22,0.585,0.195,0.0,10.122,87.585,14.024000000000001,290.00051813471504,19122,4560,4307,510,230,0.0,1.0,0.0,0,10,152,14
14443340,230.778,0.111,0.778,0.33299999999999996,0.0,10.111,102.22200000000001,13.889000000000001,94.01282051282051,20366,1476,1069,237,94,0.0,0.0,0.0,0,14,49,14
22598920,21.961,0.158,0.542,0.32,0.0,10.443,97.64,13.064,2243.0010893246185,11933,26237,23813,614,716,0.0,1.0,0.0,0,6,78,20
24176877,176.933,0.067,0.733,0.33299999999999996,0.0,11.467,96.53299999999999,15.667,690.0011223344557,4551,1538,1059,67,45,0.0,0.0,0.0,0,14,134,16
74861616,240.2,0.0,0.6,0.2,0.0,10.2,73.6,14.0,506.0017513134851,316,127,373,1,2,0.0,1.0,0.0,0,9,153,14
82118682,62.833,0.5,0.389,0.278,0.0,10.056000000000001,60.888999999999996,16.0,82.00552486187846,88,19,39,9,0,0.0,0.0,1.0,0,11,3,15
93378883,66.875,0.054000000000000006,0.625,0.375,0.0,10.714,98.39299999999999,13.179,129.00269541778977,62908,4229,3388,438,170,0.0,0.0,0.0,0,12,135,17
112419862,318.42900000000003,0.0,1.0,0.28600000000000003,0.0,9.714,84.571,14.571,900.0032786885246,2131,464,718,40,11,0.0,1.0,0.0,0,9,33,8
167823878,199.5,0.0,1.0,1.0,0.0,8.0,109.5,15.0,376.0009624639076,1772,285,257,2,13,1.0,0.0,0.0,0,8,159,15
204808236,229.571,0.14300000000000002,0.857,0.14300000000000002,0.0,10.714,120.85700000000001,15.286,47.00684931506849,407,244,449,1,3,0.0,0.0,0.0,0,15,10,16
429414906,173.667,0.083,0.833,0.25,0.0,11.5,110.167,14.75,58.00909090909091,1770,514,1176,24,7,0.0,1.0,0.0,0,12,142,13
13260592,167.4,0.4,1.0,0.2,0.0,11.6,92.4,14.2,617.001545595054,6996,899,305,346,28,0.0,1.0,0.0,0,4,69,14
14057516,125.714,0.429,0.14300000000000002,0.14300000000000002,0.0,10.429,83.85700000000001,14.142999999999999,1133.0009124087592,3284,375,1039,1,8,0.0,0.0,1.0,0,15,95,15
18800245,168.857,0.14300000000000002,0.5710000000000001,0.28600000000000003,0.0,10.857000000000001,109.286,14.571,255.0036231884058,1122,300,951,8,6,0.0,1.0,0.0,0,7,32,8
22203964,54.867,0.2,0.5329999999999999,0.2,0.0,9.933,66.667,10.533,299.00238663484487,8384,2526,299,1178,41,0.0,1.0,1.0,0,13,149,14
35737313,715.0,0.0,1.0,0.0,0.0,15.0,68.0,16.0,6353.00025819778,482,26,73,5,0,0.0,0.0,0.0,0,5,131,13
36381609,715.0,0.0,1.0,0.0,0.0,15.0,68.0,16.0,2066.0008888888888,1805,258,191,4,14,0.0,1.0,0.0,0,10,122,16
38223194,270.0,0.0,0.33299999999999996,0.0,0.0,13.0,58.667,15.333,86.00295857988165,1361,149,463,289,2,0.0,0.0,1.0,0,14,33,15
49319803,181.5,0.25,0.75,0.5,0.0,12.0,100.25,14.75,624.0030959752322,5237,245,241,115,4,1.0,0.0,0.0,0,9,158,24
51150318,321.57099999999997,0.5710000000000001,0.5710000000000001,0.0,0.0,9.429,89.286,14.286,1266.003095975232,1652,412,1974,4,3,0.0,1.0,0.0,0,8,33,13
56345134,68.688,0.312,0.25,0.312,0.0,10.875,110.5,13.187999999999999,257.00114547537225,3885,2812,1988,966,45,0.0,1.0,0.0,0,8,26,3
59083826,477.667,0.0,1.0,0.33299999999999996,0.0,11.667,55.333,17.333,44.00917431192661,537,117,552,4,1,0.0,1.0,1.0,0,15,141,16
62017536,715.0,0.0,1.0,0.0,0.0,15.0,68.0,16.0,80.003861003861,235,78,152,55,0,0.0,1.0,0.0,0,11,54,20
77165019,308.4,0.0,1.0,0.4,0.0,9.8,85.6,16.2,87.00763358778626,1111,84,601,0,3,1.0,1.0,0.0,0,7,22,9
81680710,305.0,0.0,0.7140000000000001,0.14300000000000002,0.0,9.429,72.571,15.429,394.0009551098376,5756,554,1853,32,10,0.0,0.0,0.0,0,10,57,8
117463248,394.0,0.5,1.0,0.0,0.0,13.5,114.5,15.5,209.00510204081633,889,201,500,7,5,1.0,1.0,0.0,0,8,28,14
118339229,237.5,0.0,0.5,0.0,0.0,12.5,83.75,13.5,556.0013245033113,3139,237,487,32,7,0.0,1.0,0.0,0,15,106,15
