id,avg_ext_diversity,avg_retweet_count,avg_reply_count,avg_favorite_count,avg_num_hashtags,avg_num_urls,avg_num_mentions,avg_in_apply,statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,geo_enabled,profile_background_tile,Bot,sn_length,desc_length,name_length
3610511,0.988,8.674,0.055,0.02,0.044000000000000004,0.92,0.47200000000000003,0.062,20370,5470,2385,145,52,0.0,0.0,0.0,0,6,151,16
5656162,0.978,15.597000000000001,0.057,0.043,0.087,0.057999999999999996,0.657,0.371,3131,506,381,9,40,0.0,0.0,0.0,0,5,104,14
5682702,0.98,36.415,0.285,0.124,0.066,0.163,0.794,0.39399999999999996,4024,264,87,323,16,0.0,0.0,1.0,0,7,22,6
6015122,0.992,28.941,0.040999999999999995,0.002,0.032,0.259,0.365,0.14400000000000002,2016,62,64,13,0,0.0,1.0,0.0,0,10,14,6
6067292,0.9690000000000001,18.023,0.247,0.09,0.045,0.18600000000000003,0.506,0.34600000000000003,40586,640,622,1118,32,0.0,1.0,0.0,0,8,37,8
6134312,0.983,27.899,0.10099999999999999,0.01,0.043,0.353,0.47100000000000003,0.185,1183,128,168,2,5,0.0,1.0,1.0,0,4,147,4
6140012,0.98,11.456,0.254,0.07400000000000001,0.386,0.064,0.943,0.6459999999999999,3603,138,179,53,1,0.0,1.0,1.0,0,8,37,16
6684602,0.961,5.153,0.205,0.937,0.057999999999999996,0.1,0.354,0.19,6194,1062,1770,597,5,0.0,1.0,0.0,0,6,64,4
7046912,0.981,15.125,0.653,0.319,0.242,0.249,1.547,0.621,10962,23368,958,590,715,0.0,1.0,0.0,0,15,68,16
7470952,0.9740000000000001,15.06,0.408,0.098,0.184,0.182,1.09,0.502,10947,760,712,693,27,0.0,1.0,1.0,0,14,122,14
8072492,0.9640000000000001,4.742,0.026000000000000002,0.052000000000000005,0.03,0.023,0.281,0.2,2754,477,218,224,13,0.0,1.0,0.0,0,14,159,15
8291932,0.987,5.178999999999999,0.11900000000000001,0.034,0.131,0.391,0.204,0.095,26713,1390,1177,914,68,0.0,1.0,0.0,0,7,17,7
8858022,0.987,307.291,0.026000000000000002,0.006,0.098,0.7440000000000001,0.7509999999999999,0.067,4111,314,338,47,8,0.0,1.0,1.0,0,8,92,16
8927532,0.987,1.7409999999999999,0.057999999999999996,0.002,0.01,0.44799999999999995,0.257,0.17600000000000002,1441,97,203,25,2,0.0,1.0,1.0,0,15,83,15
8933252,0.98,31.095,0.298,0.049,0.147,0.049,1.099,0.573,1698,289,1930,45,3,0.0,0.0,0.0,0,8,12,8
9011502,0.961,19.475,0.039,0.094,0.17800000000000002,0.215,0.5760000000000001,0.061,2423,842,38,0,49,0.0,0.0,1.0,0,11,75,12
9351052,0.9790000000000001,207.505,0.08199999999999999,0.006,0.24100000000000002,0.27,0.774,0.207,402,93,78,36,4,0.0,0.0,0.0,0,6,43,17
9564632,0.982,5.392,0.47600000000000003,0.115,0.152,0.22,1.548,0.628,16935,2242,918,44,124,0.0,1.0,1.0,0,9,41,11
9939012,0.983,15.177,0.045,0.027999999999999997,0.146,0.996,0.757,0.10300000000000001,9437,689,891,199,37,0.0,1.0,0.0,0,10,154,9
9993142,0.9740000000000001,15.394,0.29600000000000004,0.07200000000000001,0.431,0.109,1.2109999999999999,0.358,3742,505,571,100,3,0.0,0.0,1.0,0,10,111,10
10492262,0.98,7.837999999999999,0.20199999999999999,0.07200000000000001,0.379,0.092,0.9359999999999999,0.406,770,81,181,89,2,0.0,1.0,1.0,0,11,136,19
11176152,0.973,218.63,0.062,0.008,0.11699999999999999,0.106,0.898,0.256,1430,128,371,204,1,0.0,0.0,0.0,0,12,6,10
13260592,0.983,21.480999999999998,0.102,0.043,0.35100000000000003,0.423,1.265,0.205,6996,899,305,346,28,0.0,1.0,0.0,0,4,69,14
14057516,0.973,37.349000000000004,0.114,0.02,0.26899999999999996,0.19399999999999998,0.816,0.19699999999999998,3284,375,1039,1,8,0.0,0.0,1.0,0,15,95,15
14112759,0.97,58.085,0.183,0.085,0.878,0.146,0.8170000000000001,0.134,160,46,146,22,0,1.0,1.0,0.0,0,10,17,6
14492555,0.99,4.988,0.17300000000000001,0.019,0.07400000000000001,0.35200000000000004,0.599,0.302,292,57,110,5,0,1.0,1.0,0.0,0,7,46,14
14709812,0.983,387.585,0.214,0.026000000000000002,0.24100000000000002,0.43799999999999994,1.043,0.252,5876,616,647,1061,29,0.0,1.0,0.0,0,7,144,7
14865840,0.983,2.862,0.107,0.023,0.111,0.49700000000000005,0.298,0.105,7534,1132,1096,6,52,0.0,1.0,0.0,0,12,81,13
